shape,label,knob,kappa,S0,words,fill
chambers,chambers @θ18,frequency,0.732957287375305,282.0561446304707,552210,True
chambers,chambers @θ22,frequency,0.7376201609613493,273.10557328668597,410235,True
chambers,chambers @θ26,frequency,0.7473163393011274,257.2943580320425,284006,True
chambers,chambers @θ30,frequency,0.7624771193668649,235.50063336194137,185075,True
chambers,chambers @θ34,frequency,0.7867611912804434,204.47828231864662,112902,True
chambers,chambers @θ38,frequency,0.8209072403797477,164.45196015360307,64238,True
chambers,chambers @θ42,frequency,0.8704802547888281,111.96277033254705,33765,True
chambers,chambers @θ46,frequency,0.9342138686856869,52.71562845245387,16496,True
chambers,chambers @θ50,frequency,1.025320245836827,-18.149445264766427,7223,False
connected,connected @θ18,frequency,1.0840359611062824,-68.5572519327302,552210,False
connected,connected @θ22,frequency,1.1097131023671194,-87.35894073075201,410235,False
edition_mid,edition_mid @θ18,frequency,0.8515632071743029,151.06086421395844,552210,True
edition_mid,edition_mid @θ20,frequency,0.8575006502195839,143.92665572033263,483976,True
edition_mid,edition_mid @θ22,frequency,0.865270669270605,134.6778074392796,410235,True
edition_mid,edition_mid @θ24,frequency,0.8741611910985557,124.42850704069883,344011,True
edition_mid,edition_mid @θ26,frequency,0.8844069569233435,112.85009092180144,284006,True
edition_mid,edition_mid @θ28,frequency,0.89710629078258,98.99290448147474,231015,True
edition_mid,edition_mid @θ30,frequency,0.9112231235312063,84.03621652929348,185075,True
edition_mid,edition_mid @θ32,frequency,0.9278644027011104,67.04522819443628,145861,True
edition_mid,edition_mid @θ33,frequency,0.9375582727652134,57.42865040124002,128519,True
edition_mid,edition_mid @θ34,frequency,0.9475846766319627,47.69835389849675,112902,True
edition_mid,edition_mid @θ35,frequency,0.9580481035319348,37.68584798545396,98672,False
edition_mid,edition_mid @θ36,frequency,0.9702903335320711,26.369030716919497,85805,True
edition_mid,edition_mid @θ38,frequency,0.996564456507935,2.9683125126414325,64238,False
edition_mid,edition_mid @θ40,frequency,1.0270034782681254,-22.619154567734995,46897,False
edition_mid,edition_mid @θ42,frequency,1.0630932824268462,-51.02279547108276,33765,False
edition_mid,edition_mid @θ44,frequency,1.1039724115801968,-80.74635363146706,23794,False
edition_mid,edition_mid @θ46,frequency,1.1524992198177295,-113.36000481649535,16496,False
edition_mid,edition_mid @θ50,frequency,1.287957593342909,-185.85651628978167,7223,False
med,med @θ18,frequency,0.8724201285042756,129.38261150650692,552210,True
med,med @θ20,frequency,0.8785464530994018,122.2165229439862,483976,True
med,med @θ22,frequency,0.8868352358214064,112.65471095154669,410235,True
med,med @θ24,frequency,0.8960719899870242,102.28480370163345,344011,True
med,med @θ26,frequency,0.9069657788197503,90.35561042521988,284006,True
med,med @θ28,frequency,0.9203415488971403,76.17234153288348,231015,True
med,med @θ30,frequency,0.9351520705330536,60.930025609462064,185075,False
med,med @θ32,frequency,0.95262425646094,43.65989454843009,145861,False
med,med @θ33,frequency,0.9626270348090527,34.07068976342782,128519,False
med,med @θ34,frequency,0.973195700229772,24.147675803908783,112902,False
med,med @θ35,frequency,0.9843038704848552,13.945208133784035,98672,False
med,med @θ36,frequency,0.9969646634110506,2.6594583688415696,85805,False
med,med @θ38,frequency,1.0250273255895397,-21.281595741521073,64238,False
med,med @θ40,frequency,1.058263721687222,-47.81620869731978,46897,False
med,med @θ42,frequency,1.098283308789156,-77.19634247828537,33765,False
med,med @θ44,frequency,1.1439783963078123,-107.09128235277115,23794,False
med,med @θ46,frequency,1.1999689809261942,-138.78713195987143,16496,False
med,med @θ50,frequency,1.414000659233071,-207.19853216873037,7223,False
split_long,split_long @θ18,frequency,0.8382452990251474,169.1114608388474,552210,True
split_long,split_long @θ20,frequency,0.843925916903222,161.96907667817652,483976,True
split_long,split_long @θ22,frequency,0.8514992659963091,152.53844203064943,410235,True
split_long,split_long @θ24,frequency,0.8600054766605252,142.27296094129224,344011,True
split_long,split_long @θ26,frequency,0.8698914314327308,130.57128873129102,284006,True
split_long,split_long @θ28,frequency,0.8822015821643441,116.53315396163828,231015,True
split_long,split_long @θ30,frequency,0.8958454436632294,101.37620597570572,185075,True
split_long,split_long @θ32,frequency,0.911829108769854,84.2888469333418,145861,True
split_long,split_long @θ33,frequency,0.9212031124177104,74.55179584187715,128519,True
split_long,split_long @θ34,frequency,0.9309362676096622,64.66321219614179,112902,True
split_long,split_long @θ35,frequency,0.941085139269974,54.471852102974594,98672,True
split_long,split_long @θ36,frequency,0.9528031063174379,43.12167532032015,85805,False
split_long,split_long @θ38,frequency,0.9780444278513931,19.540827994016354,64238,False
split_long,split_long @θ40,frequency,1.0073509466352792,-6.347157945202753,46897,False
split_long,split_long @θ42,frequency,1.0416873131514826,-34.77709818952712,33765,False
split_long,split_long @θ44,frequency,1.080912673752274,-64.88820730319514,23794,False
split_long,split_long @θ46,frequency,1.1265319019202809,-97.16189423452897,16496,False
split_long,split_long @θ50,frequency,1.2537698554137922,-170.47405100332116,7223,False
split_long,"diacritics folded, θ≥30",orthography,0.8298983549064358,163.69899780629373,185116,True
edition_mid,"diacritics folded, θ≥30",orthography,0.8444423263677746,145.53758819658378,185116,True
med,"diacritics folded, θ≥30",orthography,0.8657261135076713,124.98195779067987,185116,True
split_long,"diacritics folded, θ≥36",orthography,0.8794173396929722,109.5519107864634,112943,True
split_long,cstenten θ≥30 (baseline),frequency,0.8958454436632294,101.37620597570572,112943,True
edition_mid,"diacritics folded, θ≥36",orthography,0.8959249450468111,91.82615115173257,112943,True
split_long,lemmas only,morphology,0.9077274446539304,87.53296398045677,85846,True
edition_mid,cstenten θ≥30 (baseline),frequency,0.9112231235312063,84.03621652929348,85846,True
split_long,NAVD POS filter θ≥30,morphology,0.916213461716884,79.93679438066079,85846,True
med,"diacritics folded, θ≥36",orthography,0.9190520153652462,70.80406392889995,172699,True
split_long,no marked-only forms,morphology,0.9205508854424906,75.49638991908114,172699,True
edition_mid,lemmas only,morphology,0.92343662742124,70.63164853743558,172699,True
split_long,cstenten θ≥34,frequency,0.9309362676096622,64.66321219614179,92375,True
edition_mid,NAVD POS filter θ≥30,morphology,0.9320420851328641,63.068851284081234,92375,True
med,cstenten θ≥30 (baseline),frequency,0.9351520705330536,60.930025609462064,92375,True
split_long,no marked + noncanon θ≥33,morphology,0.9358742697127567,59.825117987988165,170265,True
edition_mid,no marked-only forms,morphology,0.9364504079180916,58.73847953174368,170265,True
med,lemmas only,morphology,0.9456187219004176,49.85352498764564,170265,True
split_long,no marked + noncanon θ≥35,morphology,0.9466256866954131,49.138028311734615,129379,True
edition_mid,cstenten θ≥34,frequency,0.9475846766319627,47.69835389849675,129379,True
edition_mid,no marked + noncanon θ≥33,morphology,0.952296631302195,43.27747551540472,129379,True
split_long,cstenten θ≥36,frequency,0.9528031063174379,43.12167532032015,108106,False
med,NAVD POS filter θ≥30,morphology,0.9562383398325709,40.306245599633144,108106,False
med,no marked-only forms,morphology,0.9605159094990209,36.224461741553,108106,True
split_long,NAVD θ≥35,morphology+freq,0.9605238276498987,35.774630030982166,148560,False
edition_mid,no marked + noncanon θ≥35,morphology,0.9633991470952193,32.75848172407859,148560,False
edition_mid,cstenten θ≥36,frequency,0.9702903335320711,26.369030716919497,148560,False
med,cstenten θ≥34,frequency,0.973195700229772,24.147675803908783,42209,False
med,no marked + noncanon θ≥33,morphology,0.9770820210060286,20.602701407082805,42209,False
edition_mid,NAVD θ≥35,morphology+freq,0.9781436098227189,19.244151892049217,42209,False
med,no marked + noncanon θ≥35,morphology,0.988814814857708,9.909112176316057,172321,False
med,cstenten θ≥36,frequency,0.9969646634110506,2.6594583688415696,172321,False
med,NAVD θ≥35,morphology+freq,1.0048147093289932,-4.191238947283978,172321,False
split_long,canonical forms only,morphology,1.0183003659762102,-15.228498120044264,80510,False
edition_mid,canonical forms only,morphology,1.037408683880267,-30.261890805422695,80510,False
med,canonical forms only,morphology,1.0651277949149212,-51.761418075285405,80510,False
czech_13x13_reader,czech_13x13_reader @θ30,frequency,0.9755633759168308,16.343628307570157,185075,False
gen_11x11,gen_11x11 @θ30,frequency,0.8990829144423069,55.29761126317777,185075,True
gen_9x9,gen_9x9 @θ30,frequency,0.8191048070287853,71.54825604337537,185075,True
