grid,theta,words,minD,gmD,S0,kappa,minlocal,nneg,minglyph,glyph_le2,meanglyph,outcome,freq_floor
edition_mid,35,98672,1105,5699.189219209827,37.68584798545396,0.9580481035319348,-14.637758091005624,16,26,0,35.48148148148148,NOT_FOUND_120s,3162
edition_mid,36,85805,1033,5138.688282662776,26.369030716919497,0.9702903335320711,-14.951337291845686,17,26,0,35.33862433862434,FILL_890s,3981
edition_mid,38,64238,902,4096.03369309712,2.9683125126414325,0.996564456507935,-15.493540777215133,18,24,0,34.66137566137566,UNDECIDED_36min,6310
edition_mid,40,46897,749,3177.9238635835577,-22.619154567734995,1.0270034782681254,-16.097659021060277,20,23,0,33.79365079365079,UNDECIDED_47min,10000
edition_mid,42,33765,595,2404.9331890342123,-51.02279547108276,1.0630932824268462,-16.614723805611835,22,22,0,32.77248677248677,NOT_FOUND,15849
edition_mid,44,23794,336,1766.031418843452,-80.74635363146706,1.1039724115801968,-17.206016947898114,25,17,0,31.17989417989418,PROVEN_UNFILLABLE_9m23s,25119
edition_mid,46,16496,179,1282.087598843056,-113.36000481649535,1.1524992198177295,-17.94443790543771,35,17,0,29.85185185185185,PROVEN_UNFILLABLE,39811
edition_mid,50,7223,32,499.48855591929885,-185.85651628978167,1.287957593342909,-17.696513494695985,49,10,0,25.61904761904762,PROVEN_UNFILLABLE,100000
med,18,552210,2104,17380.028825076235,129.38261150650692,0.8724201285042756,-22.108208314026353,9,26,0,37.72538860103627,FILL,63
med,20,483976,2059,16115.255538651794,122.2165229439862,0.8785464530994018,-22.314599684221044,10,25,0,37.60621761658031,FILL,100
med,22,410235,1983,14525.389772979634,112.65471095154669,0.8868352358214064,-22.577936695451207,11,24,0,37.38341968911917,FILL,158
med,24,344011,1882,13027.671205029621,102.28480370163345,0.8960719899870242,-22.78940812840741,11,22,0,37.15025906735751,FILL,251
med,26,284006,1752,11497.276715159946,90.35561042521988,0.9069657788197503,-23.116481402673465,11,22,0,36.72538860103627,FILL,398
med,28,231015,1629,9954.040349316787,76.17234153288348,0.9203415488971403,-23.445581861864717,11,21,0,36.35233160621762,FILL,631
med,30,185075,1127,8479.51937989534,60.930025609462064,0.9351520705330536,-23.790974269922675,12,20,0,35.69948186528497,NOT_FOUND,1000
med,32,145861,741,7129.245388284559,43.65989454843009,0.95262425646094,-24.233487757095443,12,20,0,35.134715025906736,NOT_FOUND,1585
med,33,128519,608,6479.499143456942,34.07068976342782,0.9626270348090527,-24.471710615177365,12,20,0,34.715025906735754,NOT_FOUND_120s,1995
med,34,112902,485,5842.35901009341,24.147675803908783,0.973195700229772,-24.579447066564356,15,19,0,34.33678756476684,NOT_FOUND,2512
med,35,98672,384,5182.984224750502,13.945208133784035,0.9843038704848552,-24.674997783524905,15,19,0,33.67875647668394,NOT_FOUND_120s,3162
med,36,85805,297,4604.9527101208305,2.6594583688415696,0.9969646634110506,-24.680756078933584,19,18,0,33.41450777202073,NOT_FOUND,3981
med,38,64238,183,3591.0746252598155,-21.281595741521073,1.0250273255895397,-24.750501384642053,20,17,0,32.4300518134715,NOT_FOUND,6310
med,40,46897,112,2699.382690435567,-47.81620869731978,1.058263721687222,-24.729117722660817,25,15,0,31.414507772020727,NOT_FOUND,10000
med,42,33765,58,1922.7931705426865,-77.19634247828537,1.098283308789156,-24.341490451160784,27,13,0,30.082901554404145,PROVEN_UNFILLABLE,15849
med,44,23794,33,1287.6904777278291,-107.09128235277115,1.1439783963078123,-22.746395642026513,33,9,0,27.922279792746114,PROVEN_UNFILLABLE,25119
med,46,16496,16,797.582704579768,-138.78713195987143,1.1999689809261942,-20.037142394036387,44,7,0,25.82383419689119,PROVEN_UNFILLABLE,39811
med,50,7223,5,123.73361993113426,-207.19853216873037,1.414000659233071,-15.422188345929413,60,3,0,15.860103626943005,PROVEN_UNFILLABLE,100000
split_long,18,552210,2104,17905.573983463215,169.1114608388474,0.8382452990251474,-11.658046601901928,9,31,0,38.481675392670155,FILL,63
split_long,20,483976,2059,16657.975470934893,161.96907667817652,0.843925916903222,-11.899810164915095,10,31,0,38.38743455497382,FILL,100
split_long,22,410235,1983,15086.217343234144,152.53844203064943,0.8514992659963091,-12.215875278904594,10,30,0,38.2565445026178,FILL,158
split_long,24,344011,1882,13620.089155044328,142.27296094129224,0.8600054766605252,-12.550204323338326,11,29,0,38.13612565445026,FILL,251
split_long,26,284006,1752,12090.390201441582,130.57128873129102,0.8698914314327308,-12.89839193709116,11,29,0,37.80104712041885,FILL,398
split_long,28,231015,1641,10574.969555636007,116.53315396163828,0.8822015821643441,-13.287113579028166,11,29,0,37.56544502617801,FILL,631
split_long,30,185075,1482,9108.747431145002,101.37620597570572,0.8958454436632294,-13.720473096869538,12,28,0,37.083769633507856,FILL,1000
split_long,32,145861,1352,7742.2217393707415,84.2888469333418,0.911829108769854,-14.1901218415882,12,28,0,36.6282722513089,FILL,1585
split_long,33,128519,1264,7060.176362265672,74.55179584187715,0.9212031124177104,-14.417960765573739,13,28,0,36.23560209424084,FILL_5.3s,1995
split_long,34,112902,1193,6438.351567867225,64.66321219614179,0.9309362676096622,-14.688619609472362,14,28,0,36.04188481675393,FILL,2512
split_long,35,98672,1105,5770.196138262179,54.471852102974594,0.941085139269974,-14.848122155029735,15,26,0,35.455497382198956,FILL_54.9s,3162
split_long,36,85805,1033,5208.630754929395,43.12167532032015,0.9528031063174379,-15.162493182984564,18,26,0,35.31937172774869,NOT_FOUND,3981
split_long,38,64238,902,4174.113196879,19.540827994016354,0.9780444278513931,-15.663163201983748,20,24,0,34.64397905759162,NOT_FOUND,6310
split_long,40,46897,749,3254.481788095065,-6.347157945202753,1.0073509466352792,-16.24897303235778,23,23,0,33.93717277486911,NOT_FOUND,10000
split_long,42,33765,595,2475.4458752575447,-34.77709818952712,1.0416873131514826,-16.769497457754134,24,22,0,32.952879581151834,NOT_FOUND,15849
split_long,44,23794,361,1829.4704023073944,-64.88820730319514,1.080912673752274,-17.42501139482092,27,18,0,31.282722513089006,NOT_FOUND,25119
split_long,46,16496,200,1329.6385693985421,-97.16189423452897,1.1265319019202809,-18.108222675438075,36,17,0,29.984293193717278,PROVEN_UNFILLABLE,39811
split_long,50,7223,38,540.4149322057077,-170.47405100332116,1.2537698554137922,-17.862816919823153,48,12,0,25.93717277486911,PROVEN_UNFILLABLE,100000
