aduty	karetní trumfy slang. zastr.
advent	doba před Vánoci
adventní	předvánoční
adventy	doba před Vánoci množ.
adéla	jiná verze jména Adléta
adélin	patřící Adéle
adélina	vlastněné Adélou
adélini	ovládaní Adélou
adélino	patřící Adéle
adéliny	ovládany Adélou
adélo	oslovení Adély
adély	ženy jménem Adéla
adénia	rostliny tzv. pouštní růže
adénium	rostlina tzv. pouštní růže
adí	hlavní učitel jezídů
adónis	antický krasavec
adžika	gruzínské koření
adžiky	druzínské koření množ.
adžvan	koptský kmín
aedil	římský nižší úředník
aedile	oslovení úředníka antice
aedili	římští nižší úředníci
aedilové	římští nižší úředníci
aei	naše nezaokrouhlené samohlásky
aeiou	české samohlásky
aeneas	Vergiliův epos
aeneida	Vergiliův epos
aeon	dějinná epocha (z řečtiny)
aeony	dějinné epochy (z řečtiny)
aero	naše automobilka
aerobik	cvičení (O. Šípková)
aerogel	zmrzlý dým
aerogely	zmrzlé dýmy
aerovka	veterán zn. Aero hovor.
aerovky	veterány zn. Aero hovor.
aes	šifrovací algoritmus
afasie	neschopnost mluvit
afgánistán	soused Pakistánu
afiner	dohližitel na zrání sýra
afineři	dohližitelé na zrání sýra
afinér	dohližitel na zrání sýra
afinéři	dohližitelé na zrání sýra
africká	typická pro Černý světadíl
africké	typické pro Černý světadíl
africký	typický pro Černý světadíl
afrika	jeden světadíl
afrikán	aksamitník
afrikány	aksamitníky
afrikáta	polouzávěrová hláska
afrikáty	polouzávěrové hlásky
afričan	obyvatel Mali, či Konga
afričani	obyvatelé Mali, či Konga
afričtí	typičtí pro Černý světadíl
afro	výstřední účes
afrodita	Venuše
afroditin	vlastněn Venuší
afroditina	vlastněna Venuší
afroditini	vlastněni Venuší
afroditino	vlastněno Venuší
afroditiny	vlastněny Venuší
afázie	neschopnost mluvit
aféra	skandál
aféry	skandály
agama	??? límcová, ještěr
agamy	??? límcové, ještěři
agar	jedlá řasa E406
agary	jedlé řasy E406
agenciál	ergativ (pád)
agenda	gesce
agendy	gesce množ.
agens	činidlo
agent	podomní prodejce
agenti	podomní prodejci
ageus	biblický prorok
agigato	nepokojně (hudba)
agile	živě, hybně (hudba)
agitace	persvaze
agitato	bouřlivě (hudba)
agitační	persvazivní
agitátor	kdo přesvědčuje
agitátoři	kdo přesvědčují
agora	řecké náměstí
agory	řecká náměsti
agp	slot grafické karty
agpl	druh softwarové licence
agrafa	drátky na zátce (šampaňské)
agrafie	neschopnost psát
agrafon	apokryfní citát Krista
agrafy	drátky na zátkách (šampaňské)
agrese	svévolný útok
agresor	útočník
agse	vzorec selenidu stříbrnatého
agáta	řecké jméno ἀγαθός
agátin	vlastněn Agátou
agátina	vlastněna Agátou
agátini	vlastněni Agátou
agátino	vlastněno Agátou
agátiny	vlastněny Agátou
agáto	oslovení Agáty
agáty	ženy jménem Agáta
agáve	zdroj sisalu
aia	ostrov kouzelnice Kirké
aida	Verdiho opera
aids	příčina Nepelovy smrti
aikido	japonské bojové umění
aikidó	japonské bojové umění
ainové	severní japonské etnikum
ainsky	jazykem etnika ainu
ainu	severní japonské etnikum
aioli	francouzská česneková majonéza
aiolos	král větrů
aiolova	vlastněna králem větrů
aiolovi	vlastněni králem větrů
aiolovo	vlastněno králem větrů
aiolovy	vlastněny králem větrů
aiolův	vlastněn králem větrů
airbus	značka dopravních letadel
aires	město Buenos ???
ais	nota A#
aischylos	řecký dramatik
aisis	dvakrát zvýšený tón A
aither	syn Erebův a Nyktin
aithér	syn Erebův a Nyktin
aiás	Telemachův syn
aión	dějinná epocha (z řečtiny)
aióny	dějinné epochy (z řečtiny)
ajaccio	Napoleonovo rodiště
ajax	řecký hrdina
ajaxova	vlastněná řeckým hrdinou
ajaxovi	vlastnění řeckým hrdinou
ajaxovo	vlastněné řeckým hrdinou
ajaxovy	vlastněné řeckým hrdinou
ajaxův	patřící řeckému hrdinovy
ajdahou	čtení země USA Idaho
ajdam	čtení sýru eidam
aje	koncovka přechodníku (on dělá)
ajiaca	španělské dušené maso
ajiacy	španělské dušené maso množ.
ajon	ostrov u Čukotky
ajova	čtení regionu "Iowa"
ajátoláh	titul Chameneího
ají	koncovka tvaru dělají
ajíc	koncovka přechodníku (ona dělá)
ajíce	koncovka přechodníku (dělají)
ajša	manželka proroka Mohameda
ajši	jmenovkyně Mohamedovy choti
ajšin	vlastněn Mohamedovou chotí
ajšina	vlastněna Mohamedovou chotí
ajšini	vlastněni Mohamedovou chotí
ajšino	vlastněno Mohamedovou chotí
ajšiny	vlastněny Mohamedovou chotí
akad	titul akademik
akademik	člen akademie
akadi	vymřelý národ v Mezopotámii
akadové	vymřelý národ v Mezopotámii
akadsky	vymřelým jazykem Mezopotámie
akant	paznehetník
akanty	paznehetníky
akatizie	syndrom neklidných nohou
akce	čin
akcie	vlastnický podíl
aker	egyptský bůh země
akerova	zasvěcena egyptskému bohu země
akerovi	zasvěceni egyptskému bohu země
akerovo	zasvěceno egyptskému bohu země
akerovy	zasvěceny egyptskému bohu země
akerův	zasvěcen egyptskému bohu země
akihito	japonský císař
akita	psí rasa ??? Inu
akkad	sumerské město
akkadi	vymřelý národ v Mezopotámii
akkadové	vymřelý národ v Mezopotámii
akkadsky	vymřelým jazykem Mezopotámie
ako	slovensky jako
akorát	přesně hovor.
akr	4047 m²
akra	ghanská metropole
akry	4047 m² (množ.)
aksum	Etiopie v antice
akt	obraz nahého
akta	spisy
aktin	bílkovina v svalech
aktinidie	liána kiwi
aktiny	bílkovina v svalech množ.
aktiv	schůze
aktivita	činnost
aktivity	činnosti
aktivní	činný
aktivy	schůze množ.
aktuár	pojistný matematik
aktuáři	pojistní matematici
akty	obrazy nahého
aku	??? vrtačka, na baterky
akule	delikátní havajská ryba
akustika	věda o zvuku
akustiky	věda o zvuku množ.
akuzativ	4. pád
akvaria	nádrž na okrasné ryby
akvarista	chovatel okrasných ryb
akvaristi	chovatelé okrasných ryb
akvaristé	chovatelé okrasných ryb
akvarium	nádrž na okrasné ryby
akvária	nádoby na okrasné rybky
akvárium	nádoba na okrasné rybky
akvárka	nádoby na okrasné rybky hovor.
akvárko	nádoba na okrasné rybky hovor.
aká	slovensky jaká
akácie	trnitá bobovitá rostlina
akání	nářeční výslovnost ruštiny
akát	trnovník
akátová	vyřezaná z trnovníku
akátové	vyřezané z trnovníku
akátový	vyřezaný z trnovníku
akáty	trnovníky
aké	slovensky jaké
akí	slovensky jací
aký	slovensky jaký
akční	čilý, rozhodný
ala	chemická zkratka alaninu
alabama	stát USA
alain	jméno herce Delona
alaini	jmenovci herce Delona
alainova	vlastněna jmenovcem herce Delona
alainovi	vlastněni jmenovcem herce Delona
alainovo	vlastněno jmenovcem herce Delona
alainovy	vlastněny jmenovcem herce Delona
alainův	vlastněn jmenovcem herce Delona
alaman	iránský kočovník
alamani	iránští kočovníci
alan	íránský kočovník
alandy	finské soustroví
alane	oslovení Alana
alani	íránští kočovníci
alanova	vlastněná Alanem
alanovi	vlastnění Alanem
alanovo	vlastněné Alanem
alanovy	vlastněny Alanem
alany	sloučeniny hliníku s vodíkem
alanův	vlastněný Alanem
alavita	člen islámské sekty
alaviti	členi islámské sekty
alavitka	členka islámské sekty
alavitky	členky islámské sekty
alavité	členi islámské sekty
alaš	lotyšský likér
alaše	lotyšský likér množ.
alba	bílá tunika
albeda	světelné odrazivosti
albedo	světelná odrazivost
albert	německé mužské jméno
alberta	kanadská provincie
alberte	oslovení Einsteina
albertov	pražská čtvrť
album	sbírka fotografií
alby	bílé tuniky
albánci	obyvatelé Albánie
albánec	obyvatel Albánie
albánka	obyvatelka Albánie
albánky	obyvatelky Albánie
albín	zvíře bez pigmentu
albína	latinská verze jména Běla
albíni	zvířata bez pigmentu
albíno	oslovení Albíny
albíny	ženy jménem Albína
alcron	luxusní pražská restaurace
alda	Alan ???, USA herec
aldan	velký přítok Leny
ale	nýbrž
alebo	slovensky nebo
alebrž	dokonce i přesto zastr.
alef	hebrejské a
alefbet	hebrejské písmo
alej	stromořadí
aleje	stromořadí množ.
alela	část gromozomu
alely	části gromozomu
alembik	destilační kolona
alembiky	destilační kolony
alena	oficiálně Ája
alenin	patřící Aleně
alenina	vlastněná Alenou
alenini	vlastnění Alenou
alenino	patřící Aleně
aleniny	vlastněny Alenou
aleno	oslovení Aleny
aleny	ženy jménem Alena
aleppo	staré syrské město
alergie	přílišná imunitní reakce
alespoň	nejméně
aleut	aljašský domorodec
aleuti	etnikum blízké Eskymákům
aleutka	aljašská domorodkyně
aleutky	aljašské domorodkyně
aleutova	vlastněna aljašským domorodcem
aleutovi	vlastněni aljašským domorodcem
aleutovo	vlastněno aljašským domorodcem
aleutovy	vlastněny aljašským domorodcem
aleutové	etnikum podobné Eskymákům
aleuty	ostrovy v Beringově moři
aleutčin	vlastněn aljašskou domorodkyní
aleutčina	vlastněna aljašskou domorodkyní
aleutčini	vlastněni aljašskou domorodkyní
aleutčino	vlastněno aljašskou domorodkyní
aleutčiny	vlastněny aljašskou domorodkyní
aleutův	vlastněn aljašským domorodcem
alevita	člen islámské sekty
aleviti	členi islámské sekty
alevitka	členka islámské sekty
alevitky	členky islámské sekty
alevité	členi islámské sekty
alexandr	makedonský vojevůdce
alexandra	oficiálně Saša
alexej	jméno prozaika Pludka
aleš	malíř Mikuláš ???
alfa	první řecké písmeno
alfabeta	řecké písmo
alfil	dřívější šachový kámen
alfons	Muchovo jméno
alfred	první opera A. Dvořáka
alfréd	první opera A. Dvořáka
alfy	řecká áčka
algia	bolestivý (v názvech nemocí)
algol	progamovací jazyk
alh	vzorec nitridu hlinitého
ali	jméno loupežníka Baby
alias	označení pseudonymu
aliasy	označení pseudonymů
alice	jméno (15.1.)
alicin	vlastněný Alicí
alicina	vlastněná Alicí
alicini	vlastnění Alicí
alicino	vlastněné Alicí
aliciny	vlastněny Alicí
alicja	polská podoba jména Alice
alif	arabské písmeno a
aliin	silice v česneku
aljaška	bývalá Ruská Amerika
aljašská	typická pro Aljašku
aljašské	typické pro Aljašku
aljašský	typický pro Aljašku
aljašští	typičtí pro Aljašku
aljechin	ruský šachista
aljoša	bohatýr Popovič
alka	mořský pták
alkajda	Ládinova organizace
alkohol	líh
alkoun	alkovitý pták
alkouni	alkovití ptáci
alkouní	typický pro alkouny
alkovna	pokojík bez oken
alkovny	pokojíky bez oken
alky	mořští ptáci
alkáida	Ládinova organizace
all	albánský lek zkr.
alla	??? Pugačova
allin	Sázím vše! (poker)
allo	předpona "jiný" (z řečtiny)
ally	jmenovkyně pěvkyně Pugačovové
alláh	islámský bůh
alma	??? Ata, kazašské velkoměsto
almara	truhla
almary	truhly
almaty	kazašská velkoměsta
almaťan	obyvatel kazašské velkoměsta
almaťani	obyvatelé kazašské velkoměsta
